name;description;category;brand;pack_size;price;stock;image_url
Medela Safe & Dry Washable Bra Pads;Ultra absorbent, discreet under clothing, and reusable.;Nipple Care;Medela;4 units;14.95;10;images/products/Medela_Pads.jpg
ISDIN Woman Anti-Stretch Mark Cream;Helps prevent and diminish stretch marks.;Anti-Stretch Mark Care;ISDIN;250 mL;34.20;5;images/products/ISDIN_Woman_Anti-Stretch.jpg
Chicco Maternity Support Belt;Provides support for the growing belly, helping to properly support the abdomen and lower back regions.;Pregnancy Support Belts;Chicco;1 unit;26.99;3;images/products/Chicco_Belt.jpg
Chicco Maternity Support Strap;Supports the growing belly and helps support the abdomen and lower back, relieving any discomfort caused by pressure on the bladder.;Pregnancy Support Belts;Chicco;1 unit;29.99;3;images/products/Chicco_Strap.jpg
Chicco Postpartum Belt;Useful support to facilitate recovery of physical fitness while respecting the mother's body.;Postpartum Belts;Chicco;1 unit;26.99;3;images/products/Chicco_Postpartum.jpg
Uriage First Cleansing Water;Softens, soothes and protects baby's delicate skin. Ideal for daily hygiene routine: baby's face, body and bottom.;Hygiene;Uriage;500 mL;19.65;5;images/products/Uriage_Cleansing_Water.jpg
Uriage First Cleansing Oil;Nourishes and gently cleanses baby's delicate skin.;Hygiene;Uriage;500 mL;19.99;5;images/products/Uriage_Cleansing_Oil.jpg
Uriage First Cleansing Cream;Nourishes and preserves the hydrolipidic film, leaving the skin soft.;Hygiene;Uriage;500 mL;19.99;5;images/products/Uriage_Cleansing_Cream.jpg
Uriage First Shampoo;Respects the scalp, gently cleanses and detangles babies' and children's hair.;Hygiene;Uriage;200 mL;11.30;5;images/products/Uriage_Shampoo.jpg
Uriage First Moisturizing Milk;Intensely hydrates baby’s delicate skin and prevents dryness.;Skin Moisturisers;Uriage;500 mL;21.25;5;images/products/Uriage_Milk.jpg
Uriage First Moisturizing Cream;Intensely hydrates baby’s delicate skin and prevents dryness.;Skin Moisturisers;Uriage;40 mL;11.50;5;images/products/Uriage_Moisturizing_Cream.jpg
Uriage First Cold Cream;Intensely protects and nourishes baby's dry and delicate skin against external aggressions (wind, cold, hard water, etc).;Skin Moisturisers;Uriage;75 mL;13.99;5;images/products/Uriage_Cold_Cream.jpg
Uriage First Oleothermal Liniment;Gently cleanses and removes impurities. Helps reduce redness and prevent its appearance.;Nappy Care;Uriage;500 mL;16.15;3;images/products/Uriage_Liniment.jpg
Uriage First Change Cream;Efficiently prevents the appearance of redness and repairs the epidermis weakened daily by diapers.;Nappy Care;Uriage;100 mL;11.99;5;images/products/Uriage_Change_Cream.jpg
ISDIN Baby Naturals Repairing Nappy Ointment AF;Ointment for the nappy area with miconazole nitrate, an ingredient with antimicrobial properties, which helps prevent the proliferation of infectious agents and repairs the skin of the baby's bottom.;Nappy Care;ISDIN;50 mL;17.70;5;images/products/Nutraisdin_AF.jpg
ISDIN Baby Naturals Restoring Nappy Ointment Zn40;Protects the baby's bottom, promotes skin regeneration, and helps relieve irritation, diaper rash, and redness from the first application.;Nappy Care;ISDIN;50 mL;11.00;5;images/products/Nutraisdin_Zn40.jpg
Philips Avent Natural Response AirFree Bottle;Supports the baby's unique sucking, swallowing, and breathing rhythm, keeping air away from the baby's tummy for extra protection against colic, gas, and reflux.;Bottles & Teats;Philips Avent;125 mL;13.99;5;images/products/Philips_Avent_AirFree_125.jpg
Philips Avent Natural Response AirFree Bottle;Supports the baby's unique sucking, swallowing, and breathing rhythm, keeping air away from the baby's tummy for extra protection against colic, gas, and reflux.;Bottles & Teats;Philips Avent;260 mL;14.99;5;images/products/Philips_Avent_AirFree_260.jpg
Philips Avent Natural Response Bottle;Allows milk to flow only when the baby is actively drinking, so that he or she can drink, swallow and breathe just like during breastfeeding.;Bottles & Teats;Philips Avent;125 mL;12.99;5;images/products/Philips_Avent_Natural_125.jpg
Philips Avent Natural Response Bottle;Allows milk to flow only when the baby is actively drinking, so that he or she can drink, swallow and breathe just like during breastfeeding.;Bottles & Teats;Philips Avent;260 mL;13.99;5;images/products/Philips_Avent_Natural_260.jpg
Philips Avent Natural Response Bottle;Allows milk to flow only when the baby is actively drinking, so that he or she can drink, swallow and breathe just like during breastfeeding.;Bottles & Teats;Philips Avent;330 mL;14.99;5;images/products/Philips_Avent_Natural_330.jpg
Philips Avent Natural Response Glass Bottle;Allows milk to flow only when the baby is actively drinking, so that he or she can drink, swallow and breathe just like during breastfeeding.;Bottles & Teats;Philips Avent;125 mL;16.99;5;images/products/Philips_Avent_Glass_125.jpg
Philips Avent Natural Response Glass Bottle;Allows milk to flow only when the baby is actively drinking, so that he or she can drink, swallow and breathe just like during breastfeeding.;Bottles & Teats;Philips Avent;240 mL;19.99;5;images/products/Philips_Avent_Glass_240.jpg
Philips Avent Natural Response Teats Mix and Match Pack;Helps finding the perfect flow for your baby's rhythm and allows you to easily switch as their needs change throughout their growth journey.;Bottles & Teats;Philips Avent;3 units;14.99;5;images/products/Philips_Avent_Teats.jpg
Philips Avent Ultra Soft Girl 0-6m;Flexible and soft shield that follows the curves of baby's cheeks, leaving fewer marks and causing less skin irritation.;Pacifiers;Philips Avent;2 units;12.99;5;images/products/Philips_Avent_Ultra_Soft_Girl_0-6.jpg
Philips Avent Ultra Soft Boy 0-6m;Flexible and soft shield that follows the curves of baby's cheeks, leaving fewer marks and causing less skin irritation.;Pacifiers;Philips Avent;2 units;12.99;5;images/products/Philips_Avent_Ultra_Soft_Boy_0-6.jpg
Philips Avent Ultra Soft Girl 6-18m;Flexible and soft shield that follows the curves of baby's cheeks, leaving fewer marks and causing less skin irritation.;Pacifiers;Philips Avent;2 units;12.99;5;images/products/Philips_Avent_Ultra_Soft_Girl_6-18.jpg
Philips Avent Ultra Soft Boy 6-18m;Flexible and soft shield that follows the curves of baby's cheeks, leaving fewer marks and causing less skin irritation.;Pacifiers;Philips Avent;2 units;12.99;5;images/products/Philips_Avent_Ultra_Soft_Boy_6-18.jpg
Philips Avent Ultra Soft Girl 18m+;Flexible and soft shield that follows the curves of baby's cheeks, leaving fewer marks and causing less skin irritation.;Pacifiers;Philips Avent;2 units;12.99;5;images/products/Philips_Avent_Ultra_Soft_Girl_18m+.jpg
Philips Avent Ultra Soft Boy 18m+;Flexible and soft shield that follows the curves of baby's cheeks, leaving fewer marks and causing less skin irritation.;Pacifiers;Philips Avent;2 units;12.99;5;images/products/Philips_Avent_Ultra_Soft_Boy_18m+.jpg
Nan ExpertPro Total 1;Food for specific medical purposes, for the nutritional management of infants with gastrointestinal disorders such as constipation, colic and regurgitation.;Nutrition;Nan;800 gr;19.95;5;images/products/Nan_ExpertPro_Total_1.jpg
Nan OptiPro 1;Formula for healthy babies, from birth, when not breastfed.;Nutrition;Nan;800 gr;17.60;5;images/products/Nan_OptiPro_1.jpg
Nan SupremePro 1;Infant milk with a nutritionally complete formula suitable for healthy infants from birth when not breastfed.;Nutrition;Nan;800 gr;25.99;5;images/products/Nan_SupremePro_1.jpg
Nan ExpertPro AR;Food for specific medical purposes, for the nutritional management of infants with regurgitation.;Nutrition;Nan;800 gr;25.45;5;images/products/Nan_ExpertPro_AR.jpg
Nan ExpertPro Lactose Free;Infant formula for healthy babies, from birth, when not breastfed, lactose-free.;Nutrition;Nan;400 gr;14.20;5;images/products/Nan_ExpertPro_Lactose.jpg
PreNan Stage 2 PDF;Nutritional management of premature infants and low birth weight newborns (>1,800g) after hospital discharge.;Nutrition;Nan;400 gr;14.55;3;images/products/Nan_PDF.jpg
Advantage Cat <4kg;Works against fleas and lice.;Fleas & Ticks;Advantage;4 pipettes;19.25;3;images/products/Advantage_Cat-4kg.jpg
Advantage Cat >4kg;Works against fleas and lice.;Fleas & Ticks;Advantage;4 pipettes;19.70;3;images/products/Advantage_Cat+4kg.jpg
Advantix Dog 4-10kg;Repels ticks, sandflies, mosquitoes, and flies. Eliminates ticks and fleas.;Fleas & Ticks;Advantix;4 pipettes;24.85;3;images/products/Advantix_Dog_4-10kg.jpg
Advantix Dog 10-25kg;Repels ticks, sandflies, mosquitoes, and flies. Eliminates ticks and fleas.;Fleas & Ticks;Advantix;4 pipettes;26.50;3;images/products/Advantix_Dog_10-25kg.jpg
Advantix Dog 25-40kg;Repels ticks, sandflies, mosquitoes, and flies. Eliminates ticks and fleas.;Fleas & Ticks;Advantix;4 pipettes;28.95;3;images/products/Advantix_Dog_25-40kg.jpg
Advantix Dog 40-60kg;Repels ticks, sandflies, mosquitoes, and flies. Eliminates ticks and fleas.;Fleas & Ticks;Advantix;4 pipettes;31.50;3;images/products/Advantix_Dog_40-60kg.jpg
Seresto Cat;Protects against fleas and ticks for 7-8 months.;Fleas & Ticks;Seresto;1 unit;31.25;2;images/products/Seresto_Cat.jpg
Seresto Dog <8kg;Kills fleas and actively repels and kills ticks through contact.;Fleas & Ticks;Seresto;1 unit;35.25;2;images/products/Seresto_Dog-8kg.jpg
Seresto Dog >8kg;Kills fleas and actively repels and kills ticks through contact.;Fleas & Ticks;Seresto;1 unit;35.25;2;images/products/Seresto_Dog+8kg.jpg
AdTab Dog 2.5-5.5kg;Eliminates fleas and ticks.;Fleas & Ticks;AdTab;3 tablets;26.05;3;images/products/AdTab_Dog_2.5-5.5kg.jpg
AdTab Dog 5.5-11kg;Eliminates fleas and ticks.;Fleas & Ticks;AdTab;3 tablets;27.85;3;images/products/AdTab_Dog_5.5-11kg.jpg
AdTab Dog 11-22kg;Eliminates fleas and ticks.;Fleas & Ticks;AdTab;3 tablets;29.85;3;images/products/AdTab_Dog_11-22kg.jpg
AdTab Dog 22-45kg;Eliminates fleas and ticks.;Fleas & Ticks;AdTab;3 tablets;31.99;3;images/products/AdTab_Dog_22-45kg.jpg
AdTab Cat 0.5-2kg;Eliminates fleas and ticks.;Fleas & Ticks;AdTab;3 tablets;32.20;3;images/products/AdTab_Cat_0.5-2kg.jpg
AdTab Cat 2-8kg;Eliminates fleas and ticks.;Fleas & Ticks;AdTab;3 tablets;34.90;3;images/products/AdTab_Cat_2-8kg.jpg
Patta Toothpaste;Recommended for your pet's oral hygiene. Eliminates bad breath, whitens teeth, and fights plaque.;Hygiene;Patta;100 mL;10.10;2;images/products/Patta_Toothpaste.jpg
Patta Ear Hygiene Solution;Soothing and moisturizing ear cleaning solution for dogs and cats.;Eyes & Ears;Patta;125 mL;15.90;2;images/products/Patta_Ears.jpg
Patta Eye Solution;Gently cleans the surface of the eyes and provides relief from irritation caused by dust, smoke, and other particles. For dogs and cats.;Eyes & Ears;Patta;125 mL;14.60;2;images/products/Patta_Eyes.jpg
